District_Id,District,Year,Crop,Area,Prod_kg,Value_Real
,ABAIARA,2025,Rice,180,189,67.19
,ABAIARA,2025,Maize,1158,903,221.37
,ABAIARA,2025,Bean,532,117,91.73
,ACOPIARA,2025,Rice,486,61,21.68
,ACOPIARA,2025,Maize,7531,595,145.86
,ACOPIARA,2025,Bean,6877,540,423.38
,AIUABA,2025,Rice,40,56,19.91
,AIUABA,2025,Maize,6200,4595,1126.45
,AIUABA,2025,Bean,4670,869,681.33
,ALTANEIRA,2025,Rice,22,14,4.98
,ALTANEIRA,2025,Maize,600,716,175.53
,ALTANEIRA,2025,Bean,350,101,79.19
,ALTO SANTO,2025,Rice,,0,
,ALTO SANTO,2025,Maize,290,85,20.84
,ALTO SANTO,2025,Bean,2224,1033,809.91
,ANTONINA DO NORTE,2025,Rice,76,88,31.28
,ANTONINA DO NORTE,2025,Maize,929,352,86.29
,ANTONINA DO NORTE,2025,Bean,719,112,87.81
,ARACATI,2025,Rice,,0,
,ARACATI,2025,Maize,1670,645,158.12
,ARACATI,2025,Bean,1940,567,444.55
,ARARIPE,2025,Rice,150,138,49.06
,ARARIPE,2025,Maize,4595,4806,1178.18
,ARARIPE,2025,Bean,1800,407,319.1
,ARNEIROZ,2025,Rice,,0,
,ARNEIROZ,2025,Maize,2730,898,220.14
,ARNEIROZ,2025,Bean,2520,365,286.18
,ASSARE,2025,Rice,1145,1073,381.44
,ASSARE,2025,Maize,4537,2037,499.37
,ASSARE,2025,Bean,3125,641,502.57
,AURORA,2025,Rice,770,832,295.77
,AURORA,2025,Maize,4977,3932,963.92
,AURORA,2025,Bean,3565,715,560.59
,BAIXIO,2025,Rice,13,6,2.13
,BAIXIO,2025,Maize,962,370,90.7
,BAIXIO,2025,Bean,560,80,62.72
,BANABUIU,2025,Rice,,0,
,BANABUIU,2025,Maize,800,640,156.89
,BANABUIU,2025,Bean,800,326,255.6
,BARBALHA,2025,Rice,108,112,39.82
,BARBALHA,2025,Maize,312,243,59.57
,BARBALHA,2025,Bean,317,94,73.7
,BARRO,2025,Rice,640,614,218.27
,BARRO,2025,Maize,4008,1178,288.78
,BARRO,2025,Bean,2595,535,419.46
,BOA VIAGEM,2025,Rice,,0,
,BOA VIAGEM,2025,Maize,18678,7444,1824.88
,BOA VIAGEM,2025,Bean,12181,2071,1623.75
